Variable,Description
RevolvingCreditBalance,Dollars of revolving credit at the time the credit profile was pulled.
BankcardUtilization,The percentage of available revolving credit that is utilized at the time the credit profile was pulled.
AvailableBankcardCredit,The total available credit via bank card at the time the credit profile was pulled.
TotalTrades,Number of trade lines ever opened at the time the credit profile was pulled.
TradesNeverDelinquent,Number of trades that have never been delinquent at the time the credit profile was pulled.
TradesOpenedLast6Months,Number of trades opened in the last 6 months at the time the credit profile was pulled.
DebtToIncomeRatio,The debt to income ratio of the borrower at the time the credit profile was pulled. This value is Null if the debt to income ratio is not available. This value is capped at 10.01 (any debt to income ratio larger than 1000% will be returned as 1001%).
IncomeRange,The income range of the borrower at the time the listing was created.
IncomeVerifiable,The borrower indicated they have the required documentation to support their income.
StatedMonthlyIncome,The monthly income the borrower stated at the time the listing was created.
LoanKey,Unique key for each loan. This is the same key that is used in the API. 
TotalProsperLoans,Number of Prosper loans the borrower at the time they created this listing. This value will be null if the borrower had no prior loans. 
TotalProsperPaymentsBilled,Number of on time payments the borrower made on Prosper loans at the time they created this listing. This value will be null if the borrower had no prior loans.
OnTimeProsperPayments,Number of on time payments the borrower had made on Prosper loans at the time they created this listing. This value will be null if the borrower has no prior loans.
ProsperPaymentsLessThanOneMonthLate,Number of payments the borrower made on Prosper loans that were less than one month late at the time they created this listing. This value will be null if the borrower had no prior loans. 
ProsperPaymentsOneMonthPlusLate,Number of payments the borrower made on Prosper loans that were greater than one month late at the time they created this listing. This value will be null if the borrower had no prior loans.
ProsperPrincipalBorrowed,Total principal borrowed on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.
ProsperPrincipalOutstanding,Principal outstanding on Prosper loans at the time the listing was created. This value will be null if the borrower had no prior loans.
ScorexChangeAtTimeOfListing,Borrower's credit score change at the time the credit profile was pulled. This will be the change relative to the borrower's last Prosper loan. This value will be null if the borrower had no prior loans.
LoanCurrentDaysDelinquent,The number of days delinquent. 
LoanFirstDefaultedCycleNumber,The cycle the loan was charged off. If the loan has not charged off the value will be null. 
LoanMonthsSinceOrigination,Number of months since the loan originated.
LoanNumber,Unique numeric value associated with the loan.
LoanOriginalAmount,The origination amount of the loan.
LoanOriginationDate,The date the loan was originated.
LoanOriginationQuarter,The quarter in which the loan was originated.
MemberKey,The unique key that is associated with the borrower. This is the same identifier that is used in the API member object. 
MonthlyLoanPayment,The scheduled monthly loan payment.
LP_CustomerPayments,"Pre charge-off cumulative gross payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries."
LP_CustomerPrincipalPayments,"Pre charge-off cumulative principal payments made by the borrower on the loan. If the loan has charged off, this value will exclude any recoveries."
LP_InterestandFees,"Pre charge-off cumulative interest and fees paid by the borrower. If the loan has charged off, this value will exclude any recoveries."
LP_ServiceFees,Cumulative service fees paid by the investors who have invested in the loan. 
LP_CollectionFees,Cumulative collection fees paid by the investors who have invested in the loan.
LP_GrossPrincipalLoss,The gross charged off amount of the loan.
LP_NetPrincipalLoss,The principal that remains uncollected after any recoveries.
LP_NonPrincipalRecoverypayments,"The interest and fee component of any recovery payments. The current payment policy applies payments in the following order: Fees, interest, principal."
PercentFunded,Percent the listing was funded.
Recommendations,Number of recommendations the borrower had at the time the listing was created.
InvestmentFromFriendsCount,Number of friends that made an investment in the loan.
InvestmentFromFriendsAmount,Dollar amount of investments that were made by friends.
Investors,The number of investors that funded the loan.
