id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
20525,8686,52,Roma,ROM
20526,9875,48,Napoli,NAP
20527,9882,1837,Sampdoria,SAM
20528,8636,44,Inter,INT
20529,9804,54,Torino,TOR
20530,9888,347,Lecce,LEC
20531,8600,55,Udinese,UDI
20532,8540,1843,Palermo,PAL
21280,9976,1848,Bari,BAR
21285,8537,1844,Livorno,LIV
21292,10167,50,Parma,PAR
22042,9880,110915,Cesena,CES
22044,9858,190,Brescia,BRE
22805,6269,112225,Novara,NOV
23523,9878,200,Pescara,PES
24273,9876,206,Hellas Verona,VER
24288,7943,111974,Sassuolo,SAS
25048,8534,1746,Empoli,EMP
25791,9891,111657,Frosinone,FRO
25804,208931,112409,Carpi,CAP
26547,8277,1909,Vitesse,VIT
26548,8674,1915,FC Groningen,GRO
26549,9803,1902,Roda JC Kerkrade,ROD
26550,8611,1908,FC Twente,TWE
26551,8525,1907,Willem II,WII
26552,8593,245,Ajax,AJA
26553,8464,1910,N.E.C.,NEC
26554,8526,635,De Graafschap,GRA
26555,9908,1903,FC Utrecht,UTR
26556,8640,247,PSV,PSV
26557,9791,100634,Heracles Almelo,HER
26558,10235,246,Feyenoord,FEY
26559,8614,100646,Sparta Rotterdam,SPA
26560,10217,650,ADO Den Haag,HAA
26561,6601,,FC Volendam,VOL
26562,10228,1913,SC Heerenveen,HEE
26563,10229,1906,AZ,ALK
26564,9761,1904,NAC Breda,NAC
27161,10219,1905,RKC Waalwijk,RKC
27168,9839,100651,VVV-Venlo,VEN
27780,10218,1971,Excelsior,EXC
29000,6413,1914,PEC Zwolle,ZWO
29617,7788,647,SC Cambuur,CAM
29624,6433,100632,Go Ahead Eagles,GAE
30222,6631,100626,FC Dordrecht,DOR
31443,10265,1873,Wisła Kraków,WIS
31444,8031,111429,Polonia Bytom,POB
31445,8020,111429,Polonia Bytom,GOR
31446,1601,874,Ruch Chorzów,CHO
31447,8673,1871,Legia Warszawa,LEG
31448,2183,1570,P. Warszawa,PWA
31449,8025,111092,Śląsk Wrocław,SLA
31450,8030,111091,Lechia Gdańsk,LGD
31451,8244,301,Widzew Łódź,LOD
31452,8242,1564,Odra Wodzisław,ODR
31453,2182,873,Lech Poznań,POZ
31454,8569,110744,GKS Bełchatów,BEL
31455,8322,111082,Arka Gdynia,ARK
31456,1957,110745,Jagiellonia Białystok,BIA
31457,8028,111086,Piast Gliwice,PIG
31458,2186,110747,Cracovia,CKR
31925,8245,111083,Korona Kielce,KKI
31928,8021,110749,Zagłębie Lubin,ZAG
32409,8024,301,Widzew Łódź,WID
32891,8033,111087,Podbeskidzie Bielsko-Biała,POD
33377,8023,110746,Pogoń Szczecin,POG
33855,8027,112512,Zawisza Bydgoszcz,ZAW
34337,8019,110565,Górnik Łęczna,LEC
34816,177361,,Termalica Bruk-Bet Nieciecza,TBN
35283,9773,236,FC Porto,POR
35284,9807,1889,CF Os Belenenses,BEL
35285,9768,237,Sporting CP,SCP
35286,7992,,Trofense,TRO
35287,7844,1887,Vitória Guimarães,GUI
35288,10238,665,Vitória Setúbal,SET
35289,6403,1892,FC Paços de Ferreira,FER
35290,10264,1896,SC Braga,BRA
35291,10213,,Amadora,AMA
35292,10215,1901,Académica de Coimbra,ACA
35293,7841,744,Rio Ave FC,RA
35294,9772,234,SL Benfica,BEN
35295,6421,10018,Leixões SC,LEI
35296,10214,1891,CD Nacional,NAC
35297,9809,100737,Naval 1° de Maio,NAV
35298,10212,1893,CS Marítimo,MAR
35769,9771,1895,"União de Leiria, SAD",ULE
35774,2033,111540,S.C. Olhanense,OLH
36248,9765,,Portimonense,POR
36253,10211,1897,SC Beira Mar,B-M
36723,4064,,Feirense,FEI
36735,9764,1888,Gil Vicente FC,GV
37210,8348,1900,Moreirense FC,MOR
37214,7842,10020,Estoril Praia,EST
37696,158085,112513,FC Arouca,ARO
38173,6547,100741,FC Penafiel,PEN
38176,8613,1898,Boavista FC,BOA
38789,6367,,Uniao da Madeira,MAD
38791,188163,,Tondela,TON
39387,8596,79,Falkirk,FAL
39388,8548,86,Rangers,RAN
39389,9860,80,Heart of Midlothian,HEA
39390,9927,83,Motherwell,MOT
39391,8597,82,Kilmarnock,KIL
39392,10251,81,Hibernian,HIB
39393,8485,77,Aberdeen,ABE
39394,8066,620,Inverness Caledonian Thistle,INV
39395,9925,78,Celtic,CEL
39396,9800,100805,St. Mirren,MIR
39397,8429,184,Hamilton Academical FC,HAM
39398,9938,181,Dundee United,DUU
39853,8467,100804,St. Johnstone FC,JOH
40757,8457,182,Dunfermline Athletic,DUN
41216,8284,180,Dundee FC,DUF
41217,8649,631,Ross County FC,ROS
41673,8426,1754,Partick Thistle F.C.,PAR
43035,10267,461,Valencia CF,VAL
43036,8661,453,RCD Mallorca,MAL
43037,8371,479,CA Osasuna,OSA
43038,10205,483,Villarreal CF,VIL
43039,9783,242,RC Deportivo de La Coruña,COR
43040,8633,243,Real Madrid CF,REA
43041,8388,477,CD Numancia,NUM
43042,8634,241,FC Barcelona,BAR
43043,8696,456,Racing Santander,SAN
43044,8302,481,Sevilla FC,SEV
43045,9869,459,Real Sporting de Gijón,SPG
43046,8305,1860,Getafe CF,GET
43047,8603,449,Real Betis Balompié,BET
43048,8479,571,RC Recreativo,HUE
43049,8558,452,RCD Espanyol,ESP
43050,10281,462,Real Valladolid,VAL
43051,8315,448,Athletic Club de Bilbao,BIL
43052,9865,1861,UD Almería,ALM
43053,9906,240,Atlético Madrid,AMA
43054,9864,573,Málaga CF,MAL
43800,9868,1742,Xerez Club Deportivo,XER
43803,8394,244,Real Zaragoza,ZAR
43804,9867,260,CD Tenerife,TEN
44557,10278,100879,Hércules Club de Fútbol,HER
44565,8581,1853,Levante UD,LEV
44569,8560,457,Real Sociedad,SOC
45330,7878,110832,Granada CF,GRA
45333,8370,480,Rayo Vallecano,RAY
46087,9910,450,RC Celta de Vigo,CEL
46848,10268,468,Elche CF,ELC
47605,8372,467,SD Eibar,EIB
47612,7869,1867,Córdoba CF,COR
48358,8306,472,UD Las Palmas,LAS
49115,9956,322,Grasshopper Club Zürich,GRA
49116,6493,1714,AC Bellinzona,BEL
49117,10192,900,BSC Young Boys,YB
49118,9931,896,FC Basel,BAS
49119,9930,434,FC Aarau,AAR
49120,10179,110770,FC Sion,SIO
49121,10199,897,FC Luzern,LUZ
49122,9824,286,FC Vaduz,VAD
49123,7955,435,Neuchâtel Xamax,XAM
49124,10243,894,FC Zürich,ZUR
49479,10190,898,FC St. Gallen,GAL
49837,10191,1715,FC Thun,THU
50201,9777,324,Servette FC,SER
50204,7730,1862,FC Lausanne-Sports,LAU
51606,7896,,Lugano,LUG
